A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
170755	2.97811461061281	1.5590774578409	0.362681960322051	-1.19639549751885	2.73643079584791	0	-0.985136615513964	0.0122891768003259	0.996095424445209	0.17611005093349	0	0	0	170755	Sgk3	chr1
620986	1.87477273214897	1.11329368953591	0.0796301119905709	-1.03366357754534	0.564614405980736	0	-0.172850909854102	0.293586084605544	0.999723404891624	0.433443253685657	0	0	0	620986	NA	NA
73824	3.54358945805452	0.355228826843571	0.197554867024024	-0.157673959819547	0	0	0	0.998404306497981	0.999678164740102	0.999777480174615	0	0	0	73824	Snhg6	chr1
266793	-1.60676965080987	1.20573536783359	1.25330182052958	0.0475664526959896	0.270192469262284	0.340323081259149	0	0.406329359370889	0.378788573456741	0.979683892016102	0	0	0	266793	Snord87	chr1
100038398	-0.440104919479042	0.928451339156839	0.784829135703237	-0.143622203453602	0	0	0	0.572745151970905	0.716746234759659	0.981493800134137	0	0	0	100038398	NA	NA
26754	6.0246279543947	0.0427996071366028	-0.173137586628123	-0.215937193764725	0	0	0	0.999990314228232	0.999946254916111	0.999947774366566	0	0	0	26754	Cops5	chr1
211660	4.7407295852702	-0.370605840119739	-0.0359818745756559	0.334623965544083	0	0	0	0.985820813165346	0.999412517844068	0.990947014404339	0	0	0	211660	Cspp1	chr1
211673	7.70188993734151	-0.431552136146799	-0.260422090100813	0.171130046045985	0	0	0	0.995575417053446	0.99900931589668	0.999724634364067	0	0	0	211673	Arfgef1	chr1
329093	-2.18166221616582	7.52587594314679	10.1109608414305	2.58508489828374	15.6718415553015	19.8878312579658	3.13299959977525	9.63312621995722e-08	1.4818203239382e-08	0.00664815978351982	1	1	0	329093	Cpa6	chr1
109294	2.09369114282939	1.0058835604024	0.754272082257505	-0.251611478144896	0.0109549360895925	0	0	0.498416563679841	0.682187964304799	0.92452343511798	0	0	0	109294	Prex2	chr1
320492	-3.42490475290431	5.19501700284042	4.0381890952266	-1.15682790761383	5.63412509217102	4.28492494090512	-0.192566961786437	0.000222203998528021	0.0012478950925857	0.440074181882918	1	1	0	320492	A830018L16Rik	chr1
240725	2.79026218954488	3.46002671074015	4.14867073090049	0.688644020160342	9.07623064680956	11.3591391754822	0	6.60522018247251e-06	1.162863174048e-06	0.836904775997614	1	1	0	240725	Sulf1	chr1
240726	-1.45277199959808	0.675312449770709	1.15557942990136	0.480266980130649	0	0.359595225844113	0	0.766534118441998	0.364506664588642	0.870944089666395	0	0	0	240726	Slco5a1	chr1
383491	-2.20823149838043	0.0440112292763284	0.766878504641856	0.722867275365527	0	0	0	0.988134006258042	0.667697970115606	0.698760910261277	0	0	0	383491	Prdm14	chr1
17978	7.17017091211131	-0.259463502068837	-0.403202362047588	-0.143738859978751	0	0	0	0.999901418497526	0.999559854937491	0.999981512342317	0	0	0	17978	Ncoa2	chr1
72265	7.21714901167733	-1.04866469925729	-0.596809012681604	0.451855686575684	-0.395207237037742	0	0	0.351293609510091	0.99470494288218	0.999384431740993	0	0	0	72265	Tram1	chr1
212442	3.68285452555973	-1.13889416226089	-1.93518466294447	-0.796290500683577	-0.699003934295271	-4.90356653538935	0	0.251770201019653	0.00052359279604958	0.861296198114209	0	-1	0	212442	Lactb2	chr1
14048	-0.317109014981425	6.58012079329439	7.59327383356582	1.01315304027143	9.3139107270936	10.4667912362841	0.0185824111947701	5.85338500268259e-06	2.43610841511162e-06	0.503174720864456	1	1	0	14048	Eya1	chr1
17681	-0.409004343132423	-3.10081232098016	-5.20769431047652	-2.10688198949636	-4.32288857708641	-9.08191203143996	-3.29237497601797	0.00115624689770073	6.82208563932749e-06	0.00517518452504386	-1	-1	0	17681	Msc	chr1
21749	3.37773413770037	0.48441011562745	0.258443774755238	-0.225966340872211	0	0	0	0.994257860133808	0.9994200069436	0.99953985969688	0	0	0	21749	Terf1	chr1
226866	1.46826632907038	6.98950280955416	7.14569517689841	0.156192367344249	16.0742781710821	17.5049761478896	0	7.71532226607171e-08	3.86982327320764e-08	0.973958365762146	1	1	0	226866	Sbspon	chr1
19989	8.83109929126367	-0.000286124356618345	0.305177216070092	0.30546334042671	0	0	0	0.99999992977052	0.999779867978655	0.999878688499743	0	0	0	19989	Rpl7	chr1
98711	5.54484376670715	0.360486511581978	0.649018645117795	0.288532133535817	0	0	0	0.993908059899216	0.941364877499702	0.997371267758885	0	0	0	98711	Rdh10	chr1
29819	4.52272768981464	0.0027167235798542	0.256197415109127	0.253480691529273	0	0	0	0.999999154040967	0.999831650031431	0.999868751158519	0	0	0	29819	Stau2	chr1
66799	4.47204386973968	0.573313849762418	0.594046582251575	0.0207327324891571	0	0	0	0.992499016097793	0.99116042015952	0.999990042621168	0	0	0	66799	Ube2w	chr1
67923	5.6531794686532	0.940326189093719	0.672678268755508	-0.267647920338211	0	0	0	0.659078806982225	0.977763012565166	0.999756729593602	0	0	0	67923	Eloc	chr1
70397	4.08855801576597	0.843884281116909	0.339947905789056	-0.503936375327854	0	0	0	0.847479660997473	0.999427174030248	0.996664221819842	0	0	0	70397	Tmem70	chr1
17087	1.39630226298357	-2.00070662874234	-1.36543473697831	0.635271891764025	-4.196424235811	-1.51600928151512	0	0.00136699640042705	0.0831987500378255	0.938270816394371	-1	0	0	17087	Ly96	chr1
57339	1.87944628908817	0.127575068182275	1.68944107089627	1.56186600271399	0	3.57156482772578	2.95338399290761	0.999617840429784	0.00338821001844595	0.0087370575087874	0	1	0	57339	Jph1	chr1
94227	2.01597969627162	4.03814930996908	5.07291224744883	1.03476293747975	4.22256654810341	5.31759529409517	0.0417724904740075	0.00136262388381364	0.000326920616631634	0.503337316661669	1	1	0	94227	Pi15	chr1
83691	2.29382042363054	4.58054184211362	6.28223818960335	1.70169634748973	10.6034796573832	13.554589381597	1.71093004756912	2.01745692424406e-06	2.99921464967753e-07	0.0619937916063126	1	1	0	83691	Crispld1	chr1
21419	6.3015822943192	0.364452336572286	-0.19312172073436	-0.557574057306645	0	0	0	0.997390019074705	0.999420341875832	0.988750124124138	0	0	0	21419	Tfap2b	chr1
241035	-3.32466143340713	-3.05212369785046	-4.22593538231814	-1.17381168446769	-2.52272491128269	-4.10719531784088	-0.258039654306561	0.0177147306144754	0.00161611311486529	0.407021684462693	0	-1	0	241035	Pkhd1	chr1
17215	4.93782385630242	2.1283631393977	1.53037246958281	-0.597990669814887	4.25762055271067	2.08082556256326	0	0.00125481184663515	0.0347749434684953	0.923751073260497	1	0	0	17215	Mcm3	chr1
74229	1.60111149432952	2.32915797819609	1.13800141855778	-1.19115655963831	5.20619663754956	0.61603174044453	-0.748522254686004	0.000355378625997551	0.277143921771206	0.237351688682574	1	0	0	74229	Paqr8	chr1
71877	1.31233745973557	1.28172203793874	0.955547004991867	-0.326175032946872	1.30201218814414	0	0	0.113828266779717	0.582956351157706	0.99317766322691	0	0	0	71877	Efhc1	chr1
170829	2.43544305828866	-0.0837476319926234	0.69931055931657	0.783058191309194	0	0	0	0.998913087224368	0.882622573924527	0.814295558343329	0	0	0	170829	Tram2	chr1
75712	1.07600313323148	1.16271564322033	0.281830978017359	-0.880884665202972	0.67050660111055	0	0	0.260323262377579	0.994508566909421	0.685405432653157	0	0	0	75712	Tmem14a	chr1
14859	-2.15057870868519	-0.750637129851154	-0.504697806938383	0.245939322912772	0	0	0	0.718332023221526	0.870162523556365	0.96153940904471	0	0	0	14859	Gsta3	chr1
226922	0.380702688245004	7.25043071894087	8.02657570384314	0.776144984902265	13.8162014119217	15.2101053742997	0	2.64710678677484e-07	1.24626274803887e-07	0.663692177849046	1	1	0	226922	Kcnq5	chr1
116837	-3.97718338799646	3.31481092666159	5.48703843521354	2.17222750855195	4.94235227792797	9.47760596348898	2.25616217835907	0.000503545441077032	4.95037482455473e-06	0.0264584379326578	1	1	0	116837	Rims1	chr1
70155	5.58525843555911	-3.60153401609064	-1.37764376573084	2.2238902503598	-9.29768224839859	-1.34038445041831	4.79911497946348	5.49961068408225e-06	0.107720190008589	0.000600915333558582	-1	0	1	70155	Ogfrl1	chr1
280645	1.76834718394527	-0.451558367628456	0.151139532900312	0.602697900528768	0	0	0	0.889821289497616	0.972761786678541	0.82119533483976	0	0	0	280645	B3gat2	chr1
98366	4.86861665591796	0.685763392070188	0.559558347383538	-0.12620504468665	0	0	0	0.98468195606589	0.9972275083267	0.999975841068298	0	0	0	98366	Smap1	chr1
68002	2.19958509394394	0.86702118844035	-0.51917480408859	-1.38619599252894	0	0	-1.44850752456151	0.675973831220166	0.954490215193149	0.0919745123682447	0	0	0	68002	Sdhaf4	chr1
68187	5.18837126735896	0.478881905926566	0.552590627947303	0.0737087220207364	0	0	0	0.980707745365744	0.96739163631532	0.999488720697058	0	0	0	68187	Fam135a	chr1
12839	5.97696463987935	-1.5430784168433	0.526270115631264	2.06934853247457	-1.74603598875104	0	3.6104297976208	0.0586842885776966	0.916042329416502	0.00319928662229483	0	0	0	12839	Col9a1	chr1
12823	-2.70244594965291	-1.5471568000402	0.603447807105449	2.15060460714565	-1.17077531690142	0	2.46024098956704	0.137256995814297	0.77831436124862	0.0191015236721621	0	0	0	12823	Col19a1	chr1
68421	6.22337271217538	-0.977812694780869	-0.681744336600271	0.296068358180597	0	0	0	0.573127907800597	0.987519446536534	0.99991959291559	0	0	0	68421	Lmbrd1	chr1
665903	1.98106824260581	1.42802518429727	1.17432187433288	-0.253703309964384	2.00729695089047	0.859113375675338	0	0.0390466171317804	0.207122371301826	0.996039584334209	0	0	0	665903	Gm7846	NA
213109	7.24825913919738	-0.552962425768182	-0.411732134380771	0.141230291387411	0	0	0	0.996467835496905	0.99927546166872	0.999970915157669	0	0	0	213109	Phf3	chr1
19243	6.19110012627585	-0.35077984023934	0.285492533774597	0.636272374013936	0	0	0	0.998578019482643	0.999201981897763	0.981774988773724	0	0	0	19243	Ptp4a1	chr1
624262	-1.88210224033404	0.2717828812645	0.694896925153513	0.423114043889012	0	0	0	0.937811914377282	0.740141589538874	0.886448143316294	0	0	0	624262	Gm6489	NA
170771	-4.16844701185314	5.71770806873814	5.52403402430992	-0.193674044428223	8.88976454249987	8.52481685436937	0	8.15614849769371e-06	1.11642628202508e-05	0.932641557138493	1	1	0	170771	Khdrbs2	chr1
19076	4.06371199837114	1.08877688626174	0.964635710788409	-0.12414117547333	0.477784369871505	0	0	0.322527184358161	0.575065520162595	0.999493964732377	0	0	0	19076	Prim2	chr1
67503	-2.13101099537965	0.253696849910493	0.317949333665519	0.064252483755026	0	0	0	0.960050047642719	0.948807106077807	0.991676159381041	0	0	0	67503	1700001G17Rik	chr1
19335	3.4274272671915	0.829292089177839	0.340127789001649	-0.48916430017619	0	0	0	0.821656199016487	0.99812871239717	0.991652436521508	0	0	0	19335	Rab23	chr1
213539	4.68834484852067	0.991702310922564	0.903092291764301	-0.0886100191582635	0	0	0	0.52165985613971	0.738299250617062	0.999928586208577	0	0	0	213539	Bag2	chr1
98403	4.77463906987043	-0.48411500498131	0.192647702260351	0.676762707241661	0	0	0	0.975293315103388	0.99683088047315	0.913583055394036	0	0	0	98403	Zfp451	chr1
433287	3.13745534753996	0.501768098742656	0.206772933873677	-0.294995164868979	0	0	0	0.994911004623201	0.999760151665259	0.999400036587492	0	0	0	433287	Gm15455	chr1
320705	-2.12339391205935	-0.671706820523057	-0.235187259848182	0.436519560674874	0	0	0	0.7729198520142	0.955780445778845	0.904477363080712	0	0	0	320705	Bend6	chr1
13518	9.93455633885051	1.61787192653251	0.703090125472901	-0.914781801059611	3.06491477509178	0	0	0.00734255989481849	0.908519638440631	0.673700541298915	1	0	0	13518	Dst	chr1
69668	3.17739835587059	-0.409224002610943	-0.114309435235282	0.294914567375661	0	0	0	0.997033241352936	0.999802371464809	0.999138804407246	0	0	0	69668	Ccdc115	chr1
27993	5.26375482507861	-0.0372327796879492	0.0196350609793576	0.0568678406673069	0	0	0	0.999990900782066	0.999995446971559	0.99999033332159	0	0	0	27993	Imp4	chr1
52318	4.07486924248046	-0.413747962385826	-0.311502164964268	0.102245797421558	0	0	0	0.997936999579035	0.999258274356896	0.999922639298539	0	0	0	52318	D1Ertd448e	NA
19253	4.1284341981843	-5.64583868238082	-4.59093398268493	1.05490469969589	-27.7886383007511	-21.4042009753389	0.473282912442426	8.27093913943004e-10	6.95484171634962e-09	0.324064315865864	-1	-1	0	19253	Ptpn18	chr1
21755	-3.87527444669636	-6.58860041136304	-3.75684824886689	2.83175216249616	-11.9331115512591	-5.47637418603618	4.61850699299304	8.38433163186989e-07	0.000258534553730101	0.000767985437172835	-1	-1	1	21755	Prss39	chr1
226970	2.64570515494597	1.92194197610722	2.47966607375994	0.557724097652718	4.79925029843476	7.5539776915367	0	0.000600430271813753	2.61255552954379e-05	0.968660751247585	1	1	0	226970	Arhgef4	chr1
214469	7.91713663638526	0.293243105885252	0.384440953316787	0.0911978474315349	0	0	0	0.99971703951934	0.999293041395267	0.999979986623052	0	0	0	214469	Fam168b	chr1
226971	5.96366166491646	-0.650955835979476	-1.95329431083097	-1.30233847485149	0	-5.69318053956125	-1.92479812268471	0.964712598907521	0.000195232770153189	0.0444432661927453	0	-1	0	226971	Plekhb2	chr1
50785	7.29926123913498	-0.285285924079366	0.713453274435167	0.998739198514533	0	0	0	0.997429017923383	0.915487670545125	0.502772013467363	0	0	0	50785	Hs6st1	chr1
320011	7.38626481808835	0.353733201249949	-0.184002273845848	-0.537735475095797	0	0	0	0.999676230271951	0.999936369788302	0.998367302325047	0	0	0	320011	Uggt1	chr1
214854	0.24603727932485	1.29619819809015	1.03316389432556	-0.263034303764585	0.735146671533402	0.0859089921575704	0	0.241378574977853	0.467109747849477	0.954201188901705	0	0	0	214854	Neurl3	chr1
214855	7.90520254550224	1.44473243088024	0.852562405719968	-0.592170025160268	2.42204112799161	0	0	0.0202339491882737	0.776595461388535	0.980223015381873	0	0	0	214855	Arid5a	chr1
226976	6.73011808473856	-0.449145913357345	-0.225306956714784	0.223838956642561	0	0	0	0.998120339474028	0.999785328007506	0.9998699634046	0	0	0	226976	Kansl3	chr1
214895	4.85969280952185	-0.691043721230618	-1.40063834039967	-0.709594619169048	0	-3.34543952736848	0	0.982691892217784	0.00476710254307193	0.98402057091686	0	-1	0	214895	Lman2l	chr1
94220	5.49127756785675	0.253797077241392	0.718069535751424	0.464272458510032	0	0	0	0.998973035140535	0.931936518459454	0.994881742387084	0	0	0	94220	Cnnm4	chr1
94218	4.11209804178475	-0.77137982885462	-0.996047098275503	-0.224667269420883	0	0	0	0.855648334924032	0.507736353114085	0.998620830922298	0	0	0	94218	Cnnm3	chr1
78321	2.68117721747151	-0.177588830363341	-0.844810803973136	-0.667221973609795	0	0	0	0.997154649265832	0.753948414525058	0.923254409758733	0	0	0	78321	Ankrd23	chr1
109346	2.66848784777511	0.0618976884938287	-0.717541102951256	-0.779438791445085	0	0	0	0.999883286836973	0.947363797158466	0.904529240617809	0	0	0	109346	Ankrd39	chr1
20353	7.87216184838518	-0.200316013670776	-1.34585624074198	-1.14554022707121	0	-1.79183569051272	-0.815147108786427	0.998749739319225	0.0546649100334414	0.21880143579876	0	0	0	20353	Sema4c	chr1
381337	0.777171506679828	0.207235794529408	-0.81394266588311	-1.02117846041252	0	0	-0.0783800925772656	0.989149189465311	0.748228957073815	0.469713130146392	0	0	0	381337	Fam178b	chr1
12859	3.58025294881036	0.28014431780334	-0.249314424953927	-0.529458742757267	0	0	0	0.998311211489466	0.999022831098153	0.988093437769461	0	0	0	12859	Cox5b	chr1
226977	6.66619942818305	0.440404960742368	0.268610019227751	-0.171794941514618	0	0	0	0.999498173136195	0.999919163248147	0.999981996311249	0	0	0	226977	Actr1b	chr1
71166	-2.72354008623971	1.38984187746691	1.52104706689648	0.131205189429574	0.656701683804941	0.893210900874492	0	0.266261006258629	0.199515219780442	0.954511845644121	0	0	0	71166	4933424G06Rik	chr1
22637	-2.8355281544531	1.78602050622906	2.69397561113705	0.907955104907982	1.15718685614918	2.3682488984328	0	0.141162983643123	0.0224146604024943	0.563768201226737	0	0	0	22637	Zap70	chr1
56030	6.98955494782712	0.439433306566188	0.373301096331706	-0.0661322102344819	0	0	0	0.999347041947532	0.999680636806106	0.999993274352353	0	0	0	56030	Tmem131	chr1
70853	-2.85594547879024	1.76279626348787	0.274096516398028	-1.48869974708984	1.13428007124258	0	-0.753545295259748	0.145630233547471	0.904563239976453	0.23819577499538	0	0	0	70853	Vwa3b	NA
12790	-2.88808959515316	3.92757629064978	3.33296874048758	-0.5946075501622	4.94710421133122	4.3255313774249	0	0.000507249776088462	0.00115715130401744	0.749100604158413	1	1	0	12790	Cnga3	chr1
269180	4.79583200949589	0.571745760153451	1.06896782171568	0.497222061562231	0	0.421424488464979	0	0.985550050843073	0.342038787622122	0.993620288661837	0	0	0	269180	Inpp4a	chr1
76178	6.24673057369396	-0.830709393262845	-1.10798825204467	-0.277278858781829	0	-0.713568236508301	0	0.852894893711223	0.247469017893046	0.999609093833145	0	0	0	76178	Coa5	chr1
67387	4.54083718108096	-0.308557277147572	-0.677431058183998	-0.368873781036426	0	0	0	0.999490215330213	0.977321918910783	0.999382806686429	0	0	0	67387	Unc50	chr1
269181	6.13485254472951	-2.40344626810468	-0.41905831161358	1.9843879564911	-8.13650861030365	0	6.0722101739484	1.50158875116109e-05	0.995360421519288	0.000125296499107931	-1	0	1	269181	Mgat4a	chr1
77633	2.65878744775256	0.0678361902612687	0.353998871812218	0.286162681550949	0	0	0	0.999533344726901	0.993919608362206	0.996532744974579	0	0	0	77633	4930594C11Rik	chr1
72097	3.62694932579288	-5.68364387258799	-4.98065988801143	0.702983984576559	-17.8436220718885	-15.1293347459672	0	3.17316625529365e-08	1.19287369675635e-07	0.941010855621762	-1	-1	0	72097	2010300C02Rik	chr1
211484	1.12712336930707	-1.19434721799259	-1.11174442703336	0.0826027909592333	-0.794731420827839	-0.46281017012286	0	0.224382115918728	0.327665754271169	0.999034325497827	0	0	0	211484	Tsga10	chr1
623661	0.937430546199714	-0.497828525709287	-0.494618098551384	0.00321042715790298	0	0	0	0.954006553586115	0.957139195076986	0.999934135378663	0	0	0	623661	Lipt1	chr1
69028	2.77725918789426	0.97400250858384	0.527384062651933	-0.446618445931906	0	0	0	0.55688275198262	0.989415999750541	0.993939592185749	0	0	0	69028	Mitd1	chr1
107734	4.4243814708161	0.62485754147602	0.118219423546472	-0.506638117929548	0	0	0	0.987729674073235	0.999947223929616	0.997406691779518	0	0	0	107734	Mrpl30	chr1
98258	5.72946798593037	-0.767326518441952	-0.455024067373859	0.312302451068093	0	0	0	0.941731861451047	0.998432965785052	0.999759942410583	0	0	0	98258	Txndc9	chr1
226982	7.52425073750667	-0.489775640904338	0.1360046565727	0.625780297477038	0	0	0	0.975152577294418	0.998273950490555	0.947423798844505	0	0	0	226982	Eif5b	chr1
56210	4.47100957572727	-0.0967734889190428	0.302169341241426	0.398942830160469	0	0	0	0.998304416246874	0.990994852767228	0.984693044819149	0	0	0	56210	Rev1	chr1
16764	1.01323572271911	3.45878660860666	4.77181662791587	1.31303001930921	5.94044943375008	8.41418688075992	0.645746104644469	0.000147580656864611	1.20726621474794e-05	0.268507374781148	1	1	0	16764	Aff3	chr1
98388	-0.248997981379606	0.245119060611078	0.968699904743786	0.723580844132708	0	0	0	0.964945842224271	0.531219975764186	0.750217820341854	0	0	0	98388	Chst10	chr1
68833	5.92499119234781	0.461510580977454	0.182916707772912	-0.278593873204542	0	0	0	0.998684223337626	0.999923729613494	0.999871125290559	0	0	0	68833	Pdcl3	chr1
18143	2.42196032859695	-5.07130616855446	-3.89990361037865	1.17140255817581	-17.7201851118356	-12.4453642536364	1.07414524254805	3.30592831883327e-08	5.60747856324622e-07	0.156396090018215	-1	-1	0	18143	Npas2	chr1
114641	3.36464267081945	-0.0563823563718642	-0.0755462938963247	-0.0191639375244606	0	0	0	0.999945685309377	0.999934667886213	0.999985824585841	0	0	0	114641	Rpl31	chr1
54610	5.50508250834757	-2.16520610798217	-1.97706832100087	0.188137786981294	-9.54534004805064	-8.00727673641357	0	4.44470783490036e-06	1.69182147937828e-05	0.999969269186634	-1	-1	0	54610	Tbc1d8	chr1
52846	4.61052091732572	1.05158477522025	1.00459247035201	-0.0469923048682368	0.363929930189426	0.033017927545797	0	0.36247346416109	0.487217849333066	0.999973553094246	0	0	0	52846	Cnot11	chr1
100217461	-0.500863305989073	0.499679565819995	1.91824024110885	1.41856067528885	0	2.10268761724231	0.945703375209482	0.876456335946234	0.0336546532591553	0.185676611019475	0	0	0	100217461	Snord89	chr1
67702	6.79702227426977	0.459725643278693	1.24666493528728	0.786939292008583	0	1.19660669676647	0	0.985325737733261	0.132153025323581	0.852456661734324	0	0	0	67702	Rnf149	chr1
263764	-2.91594507267996	4.60188896142402	6.5211011372355	1.91921217581148	6.50564749457297	9.15503008462361	1.3954593643125	7.99607736419452e-05	6.67094744271617e-06	0.100406373554499	1	1	0	263764	Creg2	chr1
26921	7.90831494733935	0.233826337745555	0.734746458123943	0.500920120378388	0	0	0	0.99937205397731	0.931189324707106	0.995419537593508	0	0	0	26921	Map4k4	chr1
16178	-0.326868410594557	-0.992308142448614	0.126374478345937	1.11868262079455	0	0	0.16938865583734	0.516633562338634	0.947210998563254	0.442586307764734	0	0	0	16178	Il1r2	chr1
16177	4.83679066192396	-1.73852626222747	-2.05945885106192	-0.320932588834447	-3.47959279468607	-5.04696278558114	0	0.00389024369468181	0.000434938985315124	0.996769785123068	-1	-1	0	16177	Il1r1	chr1
107527	3.17281093598391	0.869168104449136	0.951902455177544	0.082734350728408	0	0	0	0.802499129345374	0.627391973287003	0.999928863250154	0	0	0	107527	Il1rl2	chr1
17082	0.109153070662385	1.29531353146849	2.23428196797561	0.938968436507119	0.569001711433592	2.31832961671935	0	0.293157517578828	0.0239856150157978	0.546418381085649	0	0	0	17082	Il1rl1	chr1
16182	3.7677549988477	-3.20664028803716	-4.01727516120129	-0.810634873164133	-9.13372143150228	-12.722725819815	0	6.27443811821883e-06	4.71210354744361e-07	0.833003581808686	-1	-1	0	16182	Il18r1	chr1
16174	-0.194468518658101	-3.1129254875038	-2.7322103102298	0.380715177274005	-4.34551055069102	-3.56802357057506	0	0.00112063881659348	0.00342890056149997	0.930834730417067	-1	-1	0	16174	Il18rap	chr1
110895	-1.06236789491975	-3.77546681073335	-1.39624133860128	2.37922547213207	-5.49083053339549	-0.714374659194409	3.03209892446502	0.000254093739772462	0.248381334024731	0.00775623967655995	-1	0	0	110895	Slc9a4	chr1
226999	0.925328904982556	-2.78278706528022	-1.15215274387656	1.63063432140367	-6.37370213980427	-0.513472121392733	2.49443251898934	8.94711559684943e-05	0.310494134308754	0.0180365466230867	-1	0	0	226999	Slc9a2	chr1
211798	1.33803163105207	-0.921479831626139	-0.800839168330164	0.120640663295974	0	0	0	0.604975732868899	0.748924586394535	0.996237175331196	0	0	0	211798	Mfsd9	chr1
381339	-3.31175158298043	4.42266724234738	3.06209826084516	-1.36056898150223	5.18698477167962	3.35277238871441	-0.51306790401953	0.000377639477283054	0.00478339734542379	0.315264664600126	1	1	0	381339	Tmem182	chr1
69527	4.77524102595108	-0.0225436845271449	-0.227715213542869	-0.205171529015725	0	0	0	0.999992667843937	0.999880166329348	0.999925632089655	0	0	0	69527	Mrps9	chr1
73122	5.04638855242647	-0.475143178456284	-0.485582428433143	-0.0104392499768595	0	0	0	0.9948785069129	0.994572540819829	0.99999026068997	0	0	0	73122	Tgfbrap1	chr1
98404	3.88493097537297	0.590940388545131	-0.135846981164315	-0.726787369709445	0	0	0	0.950236313207596	0.998787321011095	0.884472213808214	0	0	0	98404	AI597479	chr1
14200	5.52609008503082	1.54792842112201	1.87780127712883	0.329872856006819	1.62456277555878	2.60050844463829	0	0.0706742478117628	0.0152494913884798	0.966545263099227	0	0	0	14200	Fhl2	chr1
666642	3.99978177011366	0.284643816847051	0.0150486128703742	-0.269595203976677	0	0	0	0.999318125054439	0.999987293890327	0.999527238467053	0	0	0	666642	Gm8210	NA
17974	7.2788136557456	-0.568933498473408	-2.06385680624142	-1.49492330776801	0	-7.02491162248683	-3.5100659939405	0.990358312488489	4.44318564383315e-05	0.00371540527858648	0	-1	0	17974	Nck2	chr1
100861934	-1.56401868717667	-2.060330905316	-1.91622745093098	0.144103454385022	-2.28591546979048	-1.99495558644163	0	0.0251918173603105	0.0399024717063069	0.978116526853757	0	0	0	100861934	NA	NA
